time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
0.001	1100.000	4573.16	nan	nan	4.5	1100	1100	nan	1015.91	809.117	4573.16	4422.4	0	0	0.115226	0.884774	0.91701	0.0761317	0.00617284	0.000685871	1	0	0
0.002	1100.000	4796.93	nan	nan	4.5	1100	1100	nan	1015.9	809.128	4796.93	4422.08	0	0	0.037037	0.962963	0.821674	0.141632	0.0356653	0.00102881	1	0	0
0.003	1100.000	4968.74	nan	nan	4.5	1100	1100	nan	1015.91	809.125	4968.74	4422.13	0	0	0.0329218	0.967078	0.744856	0.190672	0.0634431	0.00102881	1	0	0
0.004	1100.000	4794.77	nan	nan	4.5	1100	1100	nan	1015.91	809.119	4794.77	4422.32	0	0	0.0205761	0.979424	0.678326	0.224623	0.0953361	0.00171468	1	0	0
0.005	1100.000	5023.25	nan	nan	4.5	1100	1100	nan	1015.92	809.123	5023.25	4422.19	0	0	0.0174897	0.98251	0.616598	0.263717	0.116941	0.00274348	1	0	0
0.006	1100.000	5015.95	nan	nan	4.5	1100	1100	nan	1015.91	809.125	5015.95	4422.12	0	0	0.0236626	0.976337	0.574074	0.290466	0.133402	0.00205761	1	0	0
0.007	1100.000	5452.02	nan	nan	4.5	1100	1100	nan	1015.93	809.128	5452.02	4421.99	0	0	0.0226337	0.977366	0.530178	0.316187	0.149863	0.00377229	1	0	0
0.008	1100.000	5516.46	nan	nan	4.5	1100	1100	nan	1015.94	809.126	5516.46	4422.04	0	0	0.0257202	0.97428	0.495199	0.33299	0.164609	0.00720165	1	0	0
0.009	1100.000	4959.19	nan	nan	4.5	1100	1100	nan	1015.91	809.124	4959.19	4422.15	0	0	0.0154321	0.984568	0.460905	0.354938	0.180384	0.00377229	1	0	0
0.01	1100.000	6296.48	nan	nan	4.5	1100	1100	nan	1015.95	809.145	6296.48	4421.46	0	0	0.0236626	0.976337	0.434156	0.375514	0.184156	0.00617284	1	0	0
